icao,iata,name,city,subd,country,lat,lon,lid
NULL,,Columbus Southwest Airport,Columbus,US-OH,US,39.91120147705078,-83.18879699707031,04I
04IA,,Middlekoop Airport,Packwood,Iowa,US,41.08835,-92.05462,04IA
04ID,,Lanham Field,Emmett,Idaho,US,43.87766,-116.53708,04ID
04IL,,Schertz Aerial Service - Hudson Airport,Hudson,Illinois,US,40.63754,-89.00702,04IL
04IS,,Van Gorder Airport,Mansfield,Illinois,US,40.17864,-88.56895,04IS
04KY,,Natchez Trace Farm Airport,Hiseville,Kentucky,US,37.13505,-85.78942,04KY
04MA,,Goddard Airport,Haverhill,Massachusetts,US,42.80981,-71.13923,04MA
04ME,,Beech Hill Airport,Mercer,Maine,US,44.66673,-69.89394,04ME
04MI,,Rapids Airway Airport,Eaton Rapids,Michigan,US,42.53448,-84.62831,04MI
04MN,,Helblad Airport,Kelliher,Minnesota,US,47.98579,-94.68692,04MN
04MS,,Nicks Flying Service Inc Airport,Rolling Fork,Mississippi,US,32.9,-90.8,04MS
04MT,,Pluhar Airport,Cohagen,Montana,US,47.1375,-106.4881,04MT
04NE,,Mc Connell Field,Sarben,Nebraska,US,41.15999,-101.29905,04NE
04NJ,,Emmanuel Airport,Elmer,New Jersey,US,39.59678,-75.23352,04NJ
04NV,,Kingston Ranch Airport,Sandy Valley,Nevada,US,35.75553,-115.66473,04NV
04NY,,Klaverack Airport,Hudson,New York,US,42.26231,-73.69623,04NY
04OR,,Collins Landing Strip,Mitchell,Oregon,US,44.74986,-120.20113,04OR
04TN,,Hensley Airpark,Chuckey,Tennessee,US,36.18333,-82.67889,04TN
04TT,,4D Ranch Airport,Utopia,Texas,US,29.71307,-99.54564,04TT
04TX,,Pocock Airport,China Spring,Texas,US,31.73222,-97.36889,04TX
04UT,,Navajo Mountain Airport,Navajo Mountain Trdng Post,Utah,US,37.00833,-110.79514,04UT
K04V,,Saguache Municipal Airport,Saguache,Colorado,US,38.09939,-106.17433,04V
NULL,,Manquin Flight Park Ultralightport,Manquin,US-VA,US,37.706546,-77.201621,04VG
04VT,,Lightning Bolt Field,Cabot,Vermont,US,44.40111,-72.26361,04VT
K04W,,Field Of Dreams Airport,Hinckley,Minnesota,US,46.02287,-92.89517,04W
04WA,,Ox Meadows Airport,Spokane,Washington,US,47.58184,-117.43715,04WA
04WI,,Dutch Gap Airstrip,Bristol,Wisconsin,US,42.52335,-88.01675,04WI
04WN,,Stillwater Creek Airport,Royal City,Washington,US,46.95836,-119.63882,04WN
04XA,,Pecan Field,Jermyn,Texas,US,33.28393,-98.40286,04XA
05AK,,Wasilla Creek Airpark,Palmer,Alaska,US,61.66865,-149.18733,05AK
05AN,,Weltons Aerodrome,Fox,Alaska,US,64.96047,-147.60109,05AN
05AR,,Ozark Skies Airpark,Kingston,Arkansas,US,36.00063,-93.57025,05AR
05CL,,Pope Valley Airport,Pope Valley,California,US,38.61074,-122.39137,05CL
05CO,,Rancho De Aereo Airport,Mead,Colorado,US,40.21498,-104.98442,05CO
05FA,,Melanie's Airport,Florala,Florida,US,30.91889,-86.21833,05FA
05FL,,Charlton Strip,La Belle,Florida,US,26.52022,-81.41022,05FL
05GA,,Ark Airport,Richland,Georgia,US,32.1,-84.7,05GA
05IA,,Spotts Field,Nora Springs,Iowa,US,43.13787,-93.06834,05IA
05ID,,Running Creek Ranch Airport,Grangeville,Idaho,US,45.91408,-114.83566,05ID
05IL,,Classic Landings Airport,Bonfield,Illinois,US,41.16,-88.01667,05IL
05IN,,Cooper Airport,Belleville,Indiana,US,39.64199,-86.50416,05IN
